Year,Album,Artist,Song,F*ck,Sh*t,B*tch,P*ssy,Ho€,N-Word,D*ck,C*ck,Homophobic,G-Damn,Skeet,Tits,C*nt,Ass,Total
1989,3 Feet High and Rising,De La Soul,I can do anything,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,d.a.i.s.y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,plug tunin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3 Feet High and Rising,De La Soul,the doubl huey skit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Unfinished Business,EPMD,get the bozack,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3
1989,Unfinished Business,EPMD,knick knack patty wack,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3
1989,Unfinished Business,EPMD,total caos,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
1989,Unfinished Business,EPMD,it's time 2 party,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1989,Unfinished Business,EPMD,the bigpayback,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1989,Unfinished Business,EPMD,you had too much to drink,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1989,Unfinished Business,EPMD,so what cha sayin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Unfinished Business,EPMD,jane II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Unfinished Business,EPMD,please listen to my demo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Unfinished Business,EPMD,who's booty lyrics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Unfinished Business,EPMD,strictly snappin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Unfinished Business,EPMD,"it wasn't me, it was the fame",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Grip It! On That Other Level,Ghetto Boys,gangster of love,29,4,14,7,5,4,4,0,0,5,0,0,1,10,83
1989,Grip It! On That Other Level,Ghetto Boys,size ain't shit ,23,11,6,1,0,7,4,0,0,6,0,0,0,13,71
1989,Grip It! On That Other Level,Ghetto Boys,read these nikes,18,7,5,0,3,7,0,0,0,7,0,0,0,20,67
1989,Grip It! On That Other Level,Ghetto Boys,talkin loud aint saying nothin,21,12,3,1,1,8,1,0,0,7,0,0,0,10,64
1989,Grip It! On That Other Level,Ghetto Boys,Do it like G.O,25,6,6,0,1,5,1,0,0,2,0,0,0,6,52
1989,Grip It! On That Other Level,Ghetto Boys,trigga happy nigga,28,8,5,1,0,4,0,0,0,2,0,0,0,4,52
1989,Grip It! On That Other Level,Ghetto Boys,mind of a lunatic ,21,5,9,1,0,0,1,0,0,1,0,0,0,8,46
1989,Grip It! On That Other Level,Ghetto Boys,scarface,18,4,3,1,0,1,1,0,0,0,0,0,0,0,28
