,Year,Album,Artist,Song,F*ck,Sh*t,B*tch,P*ssy,Ho,N-Word,D*ck,C*ck,Homophobic,G-Damn,Skeet,Tits,C*nt,Ass,Total,City,State
146,1988,Strait Outta Compton,NWA,strait outta compton,21,2.0,4,2.0,0.0,7,0,0.0,0,0,0,0,0,6.0,42,Los Angeles,California
147,1988,Strait Outta Compton,NWA,dopeman,12,6.0,9,1.0,3.0,0,5,0.0,0,0,0,0,0,4.0,40,Los Angeles,California
148,1988,Strait Outta Compton,NWA,8 ball,10,6.0,7,0.0,2.0,3,2,0.0,0,0,0,0,0,9.0,39,Los Angeles,California
149,1988,Strait Outta Compton,NWA,something like that,11,11.0,3,0.0,0.0,1,1,0.0,0,0,0,0,0,1.0,28,Los Angeles,California
150,1988,Strait Outta Compton,NWA,parental discretion iz advised,13,1.0,1,0.0,0.0,1,2,0.0,0,0,0,0,0,2.0,20,Los Angeles,California
151,1988,Strait Outta Compton,NWA,quiet on tha set,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1.0,1,Los Angeles,California
152,1988,Strait Outta Compton,NWA,if it ain't ruff,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
153,1988,Strait Outta Compton,NWA,express yourself,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
154,1988,Strait Outta Compton,NWA,I ain't tha 1 ,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
155,1988,Strait Outta Compton,NWA,something 2 dance 2,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
156,1988,It Takes a Nation,Public Enemy,show em whatcha got,2,4.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,6,Long Island,New York
157,1988,It Takes a Nation,Public Enemy,terminator x to the edge of panic,2,0.0,0,0.0,0.0,0,0,0.0,0,1,0,0,0,0.0,3,Long Island,New York
158,1988,It Takes a Nation,Public Enemy,black steel in the hour of chaos,2,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,2,Long Island,New York
159,1988,It Takes a Nation,Public Enemy,reggie jaz,0,1.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,Long Island,New York
160,1988,It Takes a Nation,Public Enemy,night of the living basheads,0,0.0,0,0.0,0.0,0,0,0.0,0,1,0,0,0,0.0,1,Long Island,New York
161,1988,It Takes a Nation,Public Enemy,Bring the noise,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
162,1988,It Takes a Nation,Public Enemy,don't believe the hype,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
163,1988,It Takes a Nation,Public Enemy,cold lampin with flavor,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
164,1988,It Takes a Nation,Public Enemy,mind terrorist,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
165,1988,It Takes a Nation,Public Enemy,louder than a bomb,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
166,1988,It Takes a Nation,Public Enemy,"caught, can we get a witness",0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
167,1988,It Takes a Nation,Public Enemy,she watch channel zero,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
168,1988,It Takes a Nation,Public Enemy,rebel without a pause,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
169,1988,It Takes a Nation,Public Enemy,prophets of rage,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
170,1988,It Takes a Nation,Public Enemy,party for your right to fight,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Long Island,New York
171,1988,The Great Adventure,Slick Rick,lick the balls,6,1.0,1,0.0,0.0,0,1,0.0,0,0,0,0,0,0.0,9,The Bronx,New York
172,1988,The Great Adventure,Slick Rick,the moment I feared,6,1.0,0,0.0,0.0,1,0,0.0,0,0,0,0,0,0.0,8,The Bronx,New York
173,1988,The Great Adventure,Slick Rick,indian girls,1,0.0,0,1.0,0.0,0,1,0.0,0,0,0,2,0,1.0,6,The Bronx,New York
174,1988,The Great Adventure,Slick Rick,treat her like a prostitute,0,0.0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0.0,1,The Bronx,New York
175,1988,The Great Adventure,Slick Rick,teenage love,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0,0.0,1,The Bronx,New York
